param_clf__C,param_clf__l1_ratio,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
0.001,0.1,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.002061891555786133,0.000988340377807617
0.001,0.3,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.00202326774597168,0.000985574722290039
0.001,0.5,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.0019782066345214845,0.000978374481201172
0.001,0.7,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.001983976364135742,0.0009842872619628905
0.001,0.9,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.0019980430603027343,0.0009772777557373047
0.00359381,0.1,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.0024233341217041017,0.0010026454925537109
0.00359381,0.3,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.0019910335540771484,0.0009844303131103516
0.00359381,0.5,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.001999521255493164,0.0009810924530029297
0.00359381,0.7,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.0019946575164794924,0.0009818077087402344
0.00359381,0.9,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.002028751373291016,0.0009816646575927734
0.0129155,0.1,0.7566666666666666,0.051207638319124046,22,0.8333333333333333,0.7333333333333334,0.8,0.7166666666666667,0.7,0.006624364852905273,0.0009974002838134765
0.0129155,0.3,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.00241236686706543,0.000983428955078125
0.0129155,0.5,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.0023019790649414064,0.0009951591491699219
0.0129155,0.7,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.002288484573364258,0.000990009307861328
0.0129155,0.9,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.0021232128143310546,0.0009890079498291015
0.0464159,0.1,0.8099999999999999,0.06377042156569666,13,0.8166666666666667,0.8166666666666667,0.9,0.8166666666666667,0.7,0.012482976913452149,0.0010044574737548828
0.0464159,0.3,0.7566666666666666,0.051207638319124046,22,0.8333333333333333,0.7333333333333334,0.8,0.7166666666666667,0.7,0.0126861572265625,0.0010004043579101562
0.0464159,0.5,0.4766666666666667,0.08,50,0.4,0.4666666666666667,0.6166666666666667,0.5,0.4,0.013590288162231446,0.0010329246520996093
0.0464159,0.7,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.0027971267700195312,0.0009962081909179687
0.0464159,0.9,0.5,0.0,34,0.5,0.5,0.5,0.5,0.5,0.0025838375091552734,0.0009858131408691407
0.16681,0.1,0.7733333333333334,0.07498147919467996,19,0.8166666666666667,0.7333333333333334,0.9,0.7166666666666667,0.7,0.02764725685119629,0.0010040760040283202
0.16681,0.3,0.8099999999999999,0.06377042156569666,13,0.8166666666666667,0.8166666666666667,0.9,0.8166666666666667,0.7,0.03053584098815918,0.0010069847106933595
0.16681,0.5,0.7933333333333333,0.07498147919467997,16,0.9166666666666667,0.7333333333333334,0.8,0.8166666666666667,0.7,0.036882209777832034,0.0010036468505859376
0.16681,0.7,0.7933333333333333,0.07498147919467997,16,0.9166666666666667,0.7333333333333334,0.8,0.8166666666666667,0.7,0.0395418643951416,0.0010092735290527343
0.16681,0.9,0.6799999999999999,0.13759844960366863,32,0.8333333333333333,0.7333333333333334,0.8,0.5333333333333333,0.5,0.03822617530822754,0.0010022640228271485
