distance_bin_Mb	median_r	n_pairs
0-0.1	0.9201117442206257	3293
0.1-0.5	0.8247909399091775	2300
0.5-1	0.7831773635735084	2526
1-2	0.7299284282361154	4917
2-5	0.6545277529916725	12991
5-10	0.5572519083969459	19609
10-20	0.4414141516024583	34183
20-50	0.30476409249487896	72137
50-100	0.28516128113769457	48641
100-200	0.1646009341850619	25682
cross_chromosome	0.15251223361709365	10000
