,precision,recall,f1-score,support
HER2+,1.0,1.0,1.0,6.0
HR+,0.7,0.875,0.7777777777777778,8.0
Triple Neg,0.75,0.5,0.6,6.0
accuracy,0.8,0.8,0.8,0.8
macro avg,0.8166666666666668,0.7916666666666666,0.7925925925925926,20.0
weighted avg,0.805,0.8,0.7911111111111111,20.0
