,precision,recall,f1-score,support
HER2+,1.0,1.0,1.0,7.0
HR+,0.5454545454545454,0.8571428571428571,0.6666666666666666,7.0
Triple Neg,0.5,0.16666666666666666,0.25,6.0
accuracy,0.7,0.7,0.7,0.7
macro avg,0.6818181818181818,0.6746031746031745,0.6388888888888888,20.0
weighted avg,0.6909090909090909,0.7,0.6583333333333333,20.0
