,precision,recall,f1-score,support
HER2+,0.8571428571428571,1.0,0.9230769230769231,6.0
HR+,0.5555555555555556,0.7142857142857143,0.625,7.0
Triple Neg,0.75,0.42857142857142855,0.5454545454545454,7.0
accuracy,0.7,0.7,0.7,0.7
macro avg,0.7208994708994708,0.7142857142857143,0.6978438228438227,20.0
weighted avg,0.7140873015873016,0.7,0.6865821678321679,20.0
