,precision,recall,f1-score,support
HER2+,1.0,1.0,1.0,6.0
HR+,1.0,0.42857142857142855,0.6,7.0
Triple Neg,0.6363636363636364,1.0,0.7777777777777778,7.0
accuracy,0.8,0.8,0.8,0.8
macro avg,0.8787878787878788,0.8095238095238096,0.7925925925925926,20.0
weighted avg,0.8727272727272727,0.8,0.7822222222222222,20.0
