,precision,recall,f1-score,support
HER2+,1.0,1.0,1.0,7.0
HR+,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
Triple Neg,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.8968253968253969,0.8968253968253969,0.8968253968253969,20.0
weighted avg,0.9,0.9,0.9,20.0
