PC	variance_explained	cumulative
PC1	0.15441869533337993	0.15441869533337993
PC2	0.050765823833755816	0.20518451916713576
PC3	0.045335183011968976	0.25051970217910474
PC4	0.03580103963802229	0.286320741817127
PC5	0.03387164412228762	0.3201923859394146
PC6	0.031202532886716254	0.3513949188261309
PC7	0.02930262211186056	0.38069754093799146
PC8	0.027441277995385836	0.4081388189333773
PC9	0.025878484948765636	0.43401730388214294
PC10	0.025559475068933465	0.4595767789510764
