param_clf__max_features,param_clf__min_samples_leaf,param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
sqrt,1,0.001,0.1,5,0.5900000000000001,0.13106402167558334,572,0.75,0.7166666666666667,0.45,0.43333333333333335,0.6000000000000001,0.4863736152648926,0.020959854125976562
sqrt,1,0.001,0.1,10,0.5766666666666667,0.045460605656619524,612,0.55,0.6166666666666667,0.6,0.6166666666666667,0.5,0.4906960964202881,0.021106243133544922
sqrt,1,0.001,0.1,20,0.4166666666666667,0.1247219128924647,785,0.3666666666666667,0.45,0.5333333333333333,0.5333333333333333,0.2,0.4965528011322021,0.02127065658569336
sqrt,1,0.001,0.1,50,0.5433333333333332,0.11382247385975915,716,0.45,0.6166666666666667,0.7166666666666667,0.5333333333333333,0.4,0.4974029064178467,0.02125992774963379
sqrt,1,0.001,0.3,5,0.5900000000000001,0.13106402167558334,572,0.75,0.7166666666666667,0.45,0.43333333333333335,0.6000000000000001,0.48485779762268066,0.021100664138793947
sqrt,1,0.001,0.3,10,0.5766666666666667,0.045460605656619524,612,0.55,0.6166666666666667,0.6,0.6166666666666667,0.5,0.48883471488952634,0.02110610008239746
sqrt,1,0.001,0.3,20,0.4166666666666667,0.1247219128924647,785,0.3666666666666667,0.45,0.5333333333333333,0.5333333333333333,0.2,0.4917285919189453,0.02117190361022949
sqrt,1,0.001,0.3,50,0.5433333333333332,0.11382247385975915,716,0.45,0.6166666666666667,0.7166666666666667,0.5333333333333333,0.4,0.49728031158447267,0.021329641342163086
sqrt,1,0.001,0.5,5,0.5900000000000001,0.13106402167558334,572,0.75,0.7166666666666667,0.45,0.43333333333333335,0.6000000000000001,0.48533806800842283,0.0209531307220459
sqrt,1,0.001,0.5,10,0.5766666666666667,0.045460605656619524,612,0.55,0.6166666666666667,0.6,0.6166666666666667,0.5,0.48978681564331056,0.021200275421142577
