param_selector__k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
5,0.6566666666666667,0.11527744310527052,3,0.5666666666666667,0.75,0.5333333333333333,0.8333333333333333,0.6000000000000001,0.12703828811645507,0.0015520572662353516
10,0.6900000000000001,0.09285592184789414,1,0.6666666666666666,0.7333333333333334,0.5333333333333333,0.8166666666666667,0.7,0.12598023414611817,0.0015522003173828124
15,0.6366666666666666,0.06699917080747261,5,0.6666666666666666,0.7333333333333334,0.5333333333333333,0.65,0.6000000000000001,0.12568964958190917,0.0015595912933349609
20,0.6133333333333334,0.04642796092394706,7,0.6666666666666666,0.5333333333333333,0.6166666666666667,0.65,0.6000000000000001,0.12559967041015624,0.0015621662139892578
30,0.6133333333333333,0.11850925889754117,8,0.75,0.45,0.7166666666666667,0.65,0.5,0.12539663314819335,0.0015552997589111327
50,0.6900000000000001,0.058309518948453015,1,0.65,0.65,0.8,0.65,0.7,0.1259159564971924,0.0016777992248535156
75,0.6433333333333333,0.04898979485566357,4,0.65,0.6333333333333333,0.6,0.7333333333333334,0.6000000000000001,0.1268771171569824,0.0015712261199951171
100,0.6233333333333333,0.019999999999999987,6,0.65,0.6333333333333333,0.6,0.6333333333333333,0.6000000000000001,0.12810916900634767,0.001732635498046875
