PC	variance_explained	cumulative
PC1	0.15441869533337993	0.15441869533337993
PC2	0.050765823833755816	0.20518451916713576
PC3	0.04533518301196891	0.2505197021791047
PC4	0.03580103963802229	0.28632074181712697
PC5	0.03387164412228766	0.3201923859394146
PC6	0.03120253288671614	0.3513949188261308
PC7	0.029302622111860643	0.3806975409379914
PC8	0.027441277995385836	0.4081388189333772
PC9	0.025878484948765636	0.4340173038821429
PC10	0.02555947506893348	0.45957677895107635
