param_clf__C,param_clf__l1_ratio,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
0.001,0.1,0.5,0.0,35,0.5,0.5,0.5,0.5,0.5,0.0024307727813720702,0.0011683940887451173
0.001,0.3,0.5,0.0,35,0.5,0.5,0.5,0.5,0.5,0.002324676513671875,0.0011569499969482423
0.001,0.5,0.5,0.0,35,0.5,0.5,0.5,0.5,0.5,0.002320528030395508,0.0011632919311523437
0.001,0.7,0.5,0.0,35,0.5,0.5,0.5,0.5,0.5,0.002316999435424805,0.0011595726013183595
0.001,0.9,0.5,0.0,35,0.5,0.5,0.5,0.5,0.5,0.002421855926513672,0.001176738739013672
0.00359381,0.1,0.5,0.0,35,0.5,0.5,0.5,0.5,0.5,0.002594614028930664,0.001162576675415039
0.00359381,0.3,0.5,0.0,35,0.5,0.5,0.5,0.5,0.5,0.0023345947265625,0.0011601448059082031
0.00359381,0.5,0.5,0.0,35,0.5,0.5,0.5,0.5,0.5,0.00233607292175293,0.0011618614196777343
0.00359381,0.7,0.5,0.0,35,0.5,0.5,0.5,0.5,0.5,0.002367115020751953,0.0011644363403320312
0.00359381,0.9,0.5,0.0,35,0.5,0.5,0.5,0.5,0.5,0.0023867130279541016,0.001165628433227539
0.0129155,0.1,0.5966666666666667,0.07102425250887505,32,0.55,0.6,0.55,0.55,0.7333333333333334,0.007906293869018555,0.0011797904968261718
0.0129155,0.3,0.5,0.0,35,0.5,0.5,0.5,0.5,0.5,0.002752256393432617,0.0011716842651367187
0.0129155,0.5,0.5,0.0,35,0.5,0.5,0.5,0.5,0.5,0.00243992805480957,0.0011635303497314453
0.0129155,0.7,0.5,0.0,35,0.5,0.5,0.5,0.5,0.5,0.002347564697265625,0.0011720657348632812
0.0129155,0.9,0.5,0.0,35,0.5,0.5,0.5,0.5,0.5,0.0023174285888671875,0.0011630058288574219
0.0464159,0.1,0.7833333333333333,0.06912147117775909,6,0.8166666666666667,0.7,0.75,0.9,0.75,0.014983654022216797,0.0011861801147460937
0.0464159,0.3,0.5966666666666667,0.1305543735171076,32,0.7333333333333334,0.6,0.65,0.35,0.65,0.016298484802246094,0.001193094253540039
0.0464159,0.5,0.5066666666666666,0.027080128015453217,34,0.5,0.5166666666666667,0.55,0.4666666666666667,0.5,0.011013507843017578,0.001180887222290039
