param_clf__C,param_clf__l1_ratio,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
0.001,0.1,0.5,0.0,17,0.5,0.5,0.5,0.5,0.5,0.0021411418914794923,0.0011561393737792968
0.001,0.3,0.5,0.0,17,0.5,0.5,0.5,0.5,0.5,0.0020528793334960937,0.001102447509765625
0.001,0.5,0.5,0.0,17,0.5,0.5,0.5,0.5,0.5,0.0018895626068115234,0.0009521007537841797
0.001,0.7,0.5,0.0,17,0.5,0.5,0.5,0.5,0.5,0.0020763397216796873,0.0009589672088623046
0.001,0.9,0.5,0.0,17,0.5,0.5,0.5,0.5,0.5,0.0019367694854736327,0.0009791851043701172
0.01,0.1,0.54,0.11575836902790225,16,0.7166666666666667,0.6,0.3666666666666667,0.5166666666666667,0.5,0.004747629165649414,0.0010509490966796875
0.01,0.3,0.5,0.0,17,0.5,0.5,0.5,0.5,0.5,0.0018597126007080078,0.0009454727172851562
0.01,0.5,0.5,0.0,17,0.5,0.5,0.5,0.5,0.5,0.0018805503845214845,0.0009176254272460938
0.01,0.7,0.5,0.0,17,0.5,0.5,0.5,0.5,0.5,0.001986980438232422,0.0009841442108154297
0.01,0.9,0.5,0.0,17,0.5,0.5,0.5,0.5,0.5,0.001985788345336914,0.0009349822998046875
0.1,0.1,0.8133333333333332,0.12754084313139327,10,0.9,0.7333333333333334,0.6333333333333333,0.8,1.0,0.01608872413635254,0.0012152671813964843
0.1,0.3,0.8533333333333333,0.1222020185321557,3,1.0,0.7333333333333334,0.7333333333333334,0.8,1.0,0.020256423950195314,0.001401662826538086
0.1,0.5,0.8300000000000001,0.16613247725836147,7,1.0,0.8,0.55,0.8,1.0,0.02287631034851074,0.001291799545288086
0.1,0.7,0.6266666666666666,0.21333333333333335,15,0.7166666666666667,0.7,0.2833333333333333,0.5166666666666667,0.9166666666666667,0.019793272018432617,0.0013887882232666016
0.1,0.9,0.6900000000000001,0.13727506854649335,14,0.7166666666666667,0.7166666666666667,0.5833333333333334,0.5166666666666667,0.9166666666666667,0.02137613296508789,0.0013612270355224609
1.0,0.1,0.7833333333333332,0.0760116950066092,11,0.8166666666666667,0.8333333333333333,0.6333333333333333,0.8,0.8333333333333333,0.06625285148620605,0.0014894485473632812
1.0,0.3,0.8566666666666667,0.09285592184789412,1,0.9166666666666667,0.8333333333333333,0.7333333333333334,0.8,1.0,0.0790945053100586,0.0014015674591064454
1.0,0.5,0.8366666666666667,0.10561986345169905,4,0.9166666666666667,0.7333333333333334,0.7333333333333334,0.8,1.0,0.09584150314331055,0.0014891624450683594
1.0,0.7,0.8366666666666667,0.10561986345169905,4,0.9166666666666667,0.7333333333333334,0.7333333333333334,0.8,1.0,0.12853035926818848,0.001541471481323242
1.0,0.9,0.8366666666666667,0.10561986345169905,4,0.9166666666666667,0.7333333333333334,0.7333333333333334,0.8,1.0,0.17658329010009766,0.0013957023620605469
10.0,0.1,0.7666666666666666,0.0752772652709081,13,0.8166666666666667,0.7333333333333334,0.6333333333333333,0.8166666666666667,0.8333333333333333,0.12875990867614745,0.0016204833984375
10.0,0.3,0.7833333333333332,0.0760116950066092,11,0.8166666666666667,0.8333333333333333,0.6333333333333333,0.8,0.8333333333333333,-0.0292177677154541,0.0014392852783203125
10.0,0.5,0.82,0.10077477638553982,8,0.8166666666666667,0.8333333333333333,0.7333333333333334,0.7166666666666667,1.0,0.2417933464050293,0.0014616012573242187
10.0,0.7,0.82,0.10077477638553982,8,0.8166666666666667,0.8333333333333333,0.7333333333333334,0.7166666666666667,1.0,0.25677900314331054,0.0016926288604736327
10.0,0.9,0.8566666666666667,0.09285592184789412,1,0.9166666666666667,0.8333333333333333,0.7333333333333334,0.8,1.0,0.2656227111816406,0.0018532752990722656
