PC	variance_explained	cumulative
PC1	0.16053348069241857	0.16053348069241857
PC2	0.062029966169767366	0.22256344686218593
PC3	0.04534050682042073	0.26790395368260667
PC4	0.036875514031685944	0.3047794677142926
PC5	0.034022449368120794	0.33880191708241336
PC6	0.03161877812881284	0.3704206952112262
PC7	0.028343749763785297	0.3987644449750115
PC8	0.026357269825965313	0.4251217148009768
PC9	0.023973808775170018	0.44909552357614685
PC10	0.02264682770499706	0.4717423512811439
