param_selector__k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
5,0.5633333333333332,0.20094222497468717,2,0.35,0.3,0.7166666666666667,0.65,0.8,0.11404881477355958,0.0013750076293945312
20,0.7700000000000001,0.08717797887081348,1,0.7,0.65,0.8,0.9,0.8,0.11562352180480957,0.0014324188232421875
