param_selector__k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
15,0.8066666666666666,0.08205689083394115,2,0.9,0.9,0.7166666666666667,0.7166666666666667,0.8,0.12559213638305664,0.0014989376068115234
20,0.8799999999999999,0.0748331477354788,1,0.9,0.9,1.0,0.8,0.8,0.12647624015808107,0.0014801502227783203
30,0.7666666666666666,0.13038404810405296,3,0.8,0.9,0.5166666666666667,0.8166666666666667,0.8,0.12566614151000977,0.0014862537384033204
50,0.75,0.10852547064066471,4,0.8,0.9,0.6166666666666667,0.6333333333333333,0.8,0.1258784294128418,0.0015297889709472655
