,KW + NMC,EN + NMC,KW + RF,EN + RF,KW + NMC (k-ens),NMC Ensemble,KW + NMC (k-grid)
KW + NMC,1.0,0.7478813559322034,0.7330508474576272,0.7341101694915254,0.8326271186440678,0.809322033898305,0.9427966101694916
EN + NMC,0.7323651452282157,1.0,0.7033195020746889,0.7365145228215768,0.733402489626556,0.8392116182572614,0.7313278008298755
KW + RF,0.692,0.678,1.0,0.795,0.697,0.703,0.693
EN + RF,0.6392988929889298,0.6549815498154982,0.7333948339483395,1.0,0.6254612546125461,0.6559040590405905,0.6328413284132841
KW + NMC (k-ens),0.8831460674157303,0.7943820224719101,0.7831460674157303,0.7617977528089888,1.0,0.898876404494382,0.9
NMC Ensemble,0.8470066518847007,0.8968957871396895,0.779379157427938,0.7882483370288248,0.8869179600886918,1.0,0.8580931263858093
KW + NMC (k-grid),0.959051724137931,0.759698275862069,0.7467672413793104,0.7392241379310345,0.8631465517241379,0.834051724137931,1.0
