pipeline,mean_ba_excl,std_ba_excl
en_nmc_pens,0.774133316,0.10957037467660334
kw_nmc_kens,0.76764524,0.11795074705282574
nmc_ensemble,0.7648857,0.11177107113900378
kw_nmc_pens,0.7611047479999999,0.11864216032455918
standalone_en_pens,0.7562523720000001,0.10757347956462214
kw_nmc_kgrid,0.754692856,0.11716398215635303
standalone_en,0.751092892,0.11379533944967254
kw_nmc,0.749457152,0.12209439766254311
en_nmc,0.745116672,0.11531393852692216
kw_rf,0.734678552,0.11576780527622173
en_rf,0.706519096,0.12499728918052863
