,KW + NMC,KW + RF,EN + NMC,EN + RF
KW + NMC,1.0,0.7451820128479657,0.728051391862955,0.7002141327623126
KW + RF,0.6980942828485457,1.0,0.6469408224674023,0.7562688064192578
EN + NMC,0.7303974221267454,0.6928034371643395,1.0,0.7207303974221267
EN + RF,0.633107454017425,0.7299128751210068,0.6495643756050339,1.0
