,KW + NMC,KW + RF,EN + NMC,EN + RF
KW + NMC,1.0,0.5635627530364372,0.5738396624472574,0.49809596344249807
KW + RF,0.5635627530364372,1.0,0.5027279812938426,0.5909090909090909
EN + NMC,0.5738396624472574,0.5027279812938426,1.0,0.5189481825212684
EN + RF,0.49809596344249807,0.5909090909090909,0.5189481825212684,1.0
