param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
0.001,0.1,5,0.45999999999999996,0.06548960901462833,185,0.5,0.3833333333333333,0.43333333333333335,0.4166666666666667,0.5666666666666667,0.003575754165649414,0.0014663219451904296
0.001,0.1,10,0.53,0.1161416759345623,169,0.6666666666666666,0.3833333333333333,0.5333333333333333,0.4166666666666667,0.65,0.003252410888671875,0.0014072418212890624
0.001,0.1,20,0.6166666666666666,0.1178511301977579,120,0.8333333333333333,0.48333333333333334,0.6,0.6166666666666667,0.55,0.0033548355102539064,0.0014571666717529297
0.001,0.1,50,0.6433333333333333,0.16753109164172086,92,0.7333333333333334,0.8166666666666667,0.3333333333333333,0.6166666666666667,0.7166666666666667,0.003414773941040039,0.001504230499267578
0.001,0.3,5,0.45999999999999996,0.06548960901462833,185,0.5,0.3833333333333333,0.43333333333333335,0.4166666666666667,0.5666666666666667,0.0037217140197753906,0.0016427040100097656
0.001,0.3,10,0.53,0.1161416759345623,169,0.6666666666666666,0.3833333333333333,0.5333333333333333,0.4166666666666667,0.65,0.003290557861328125,0.0014607906341552734
0.001,0.3,20,0.6166666666666666,0.1178511301977579,120,0.8333333333333333,0.48333333333333334,0.6,0.6166666666666667,0.55,0.003408956527709961,0.0014886856079101562
0.001,0.3,50,0.6433333333333333,0.16753109164172086,92,0.7333333333333334,0.8166666666666667,0.3333333333333333,0.6166666666666667,0.7166666666666667,0.0035572052001953125,0.001519012451171875
0.001,0.5,5,0.45999999999999996,0.06548960901462833,185,0.5,0.3833333333333333,0.43333333333333335,0.4166666666666667,0.5666666666666667,0.0034305095672607423,0.001489877700805664
0.001,0.5,10,0.53,0.1161416759345623,169,0.6666666666666666,0.3833333333333333,0.5333333333333333,0.4166666666666667,0.65,0.003458118438720703,0.0015212059020996093
0.001,0.5,20,0.6166666666666666,0.1178511301977579,120,0.8333333333333333,0.48333333333333334,0.6,0.6166666666666667,0.55,0.004068231582641602,0.0017580032348632813
