param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
0.01,0.1,5,0.5966666666666667,0.16343534229508352,13,0.5666666666666667,0.9166666666666667,0.5333333333333333,0.4666666666666667,0.5,0.008467435836791992,0.0012396812438964845
0.01,0.1,20,0.7000000000000001,0.18708286933869703,4,1.0,0.8166666666666667,0.6166666666666667,0.4666666666666667,0.6,0.009411811828613281,0.0014023780822753906
0.01,0.5,5,0.45666666666666667,0.23654926665613563,23,0.4,0.8333333333333333,0.2833333333333333,0.16666666666666666,0.6000000000000001,0.0025712013244628905,0.0011806011199951172
0.01,0.5,20,0.6066666666666667,0.11623730516108462,11,0.7333333333333334,0.6666666666666666,0.4666666666666667,0.4666666666666667,0.7,0.002618885040283203,0.0011345863342285157
0.01,0.9,5,0.45666666666666667,0.23654926665613563,23,0.4,0.8333333333333333,0.2833333333333333,0.16666666666666666,0.6000000000000001,0.002828025817871094,0.0011902332305908203
0.01,0.9,20,0.6066666666666667,0.11623730516108462,11,0.7333333333333334,0.6666666666666666,0.4666666666666667,0.4666666666666667,0.7,0.0030038833618164064,0.0011968612670898438
0.1,0.1,5,0.55,0.2243509156061845,15,0.7166666666666667,0.7166666666666667,0.75,0.3666666666666667,0.2,0.027656078338623047,0.0014424800872802734
0.1,0.1,20,0.6833333333333333,0.1963556863336419,5,0.9166666666666667,0.9166666666666667,0.5333333333333333,0.45,0.6000000000000001,0.027808284759521483,0.0014082431793212891
0.1,0.5,5,0.5966666666666667,0.16275407487644936,13,0.7333333333333334,0.75,0.43333333333333335,0.3666666666666667,0.7,0.025980520248413085,0.0013254642486572265
0.1,0.5,20,0.7333333333333334,0.10903618155864084,1,0.8166666666666667,0.9,0.6166666666666667,0.6333333333333333,0.7,0.025899171829223633,0.001431417465209961
0.1,0.9,5,0.54,0.1236482466066094,17,0.4666666666666667,0.7333333333333334,0.5333333333333333,0.3666666666666667,0.6000000000000001,0.02543940544128418,0.0014409065246582032
0.1,0.9,20,0.6666666666666667,0.15092308563562365,6,0.9166666666666667,0.7333333333333334,0.6166666666666667,0.4666666666666667,0.6,0.026273345947265624,0.001402139663696289
1.0,0.1,5,0.47333333333333344,0.17113996870657913,21,0.7166666666666667,0.6166666666666667,0.45,0.2833333333333333,0.30000000000000004,0.12125868797302246,0.0014467716217041015
1.0,0.1,20,0.7033333333333334,0.13474255287605158,2,0.8166666666666667,0.8166666666666667,0.7333333333333334,0.45,0.7,0.11543111801147461,0.0014148235321044921
1.0,0.5,5,0.5333333333333333,0.17191729277636836,18,0.7166666666666667,0.7166666666666667,0.55,0.2833333333333333,0.4,0.15308113098144532,0.0015192508697509765
1.0,0.5,20,0.6633333333333333,0.14659088951530683,8,0.8166666666666667,0.7166666666666667,0.45,0.5333333333333333,0.8,0.1544969081878662,0.00142364501953125
1.0,0.9,5,0.5466666666666666,0.17524585904126555,16,0.7166666666666667,0.7166666666666667,0.6166666666666667,0.2833333333333333,0.4,0.19788661003112792,0.0013672351837158204
1.0,0.9,20,0.7033333333333334,0.15965240019770732,2,0.9166666666666667,0.8166666666666667,0.45,0.6333333333333333,0.7,0.199446964263916,0.001448822021484375
10.0,0.1,5,0.4633333333333334,0.092135166407235,22,0.6333333333333333,0.4666666666666667,0.45,0.3666666666666667,0.4,0.003989505767822266,0.0014017105102539062
10.0,0.1,20,0.65,0.132077418374393,10,0.8166666666666667,0.7333333333333334,0.55,0.45,0.7,0.24352035522460938,0.0014481544494628906
10.0,0.5,5,0.52,0.15755069730795299,19,0.7166666666666667,0.6333333333333333,0.5666666666666667,0.2833333333333333,0.4,0.5004498481750488,0.0013423442840576171
10.0,0.5,20,0.6633333333333333,0.10022197585581938,8,0.8166666666666667,0.7333333333333334,0.6333333333333333,0.5333333333333333,0.6000000000000001,0.495714807510376,0.0014458656311035155
10.0,0.9,5,0.4833333333333333,0.1456784892227477,20,0.7166666666666667,0.4666666666666667,0.55,0.2833333333333333,0.4,0.5492071628570556,0.0013711929321289062
10.0,0.9,20,0.6666666666666666,0.14794894014114765,7,0.8166666666666667,0.7333333333333334,0.45,0.5333333333333333,0.8,0.5453452110290528,0.0013744831085205078
