param_clf__max_features,param_clf__min_samples_leaf,param_selector__k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
sqrt,1,5,0.5466666666666666,0.1664665465224503,29,0.7,0.7,0.5833333333333334,0.25,0.5,0.6060474395751954,0.021281051635742187
sqrt,1,10,0.6033333333333334,0.15825436627292291,18,0.8,0.6166666666666667,0.75,0.45,0.4,0.6071789741516114,0.02134814262390137
sqrt,1,15,0.62,0.06863753427324665,14,0.7,0.7,0.5666666666666667,0.5333333333333333,0.6,0.6095148086547851,0.021130752563476563
sqrt,1,20,0.6633333333333333,0.07557189365836421,3,0.7166666666666667,0.7,0.75,0.55,0.6,0.6111807346343994,0.021433925628662108
sqrt,1,30,0.6266666666666667,0.08981462390204985,11,0.7166666666666667,0.7,0.4666666666666667,0.65,0.6,0.6144583702087403,0.021419048309326172
sqrt,1,50,0.68,0.12083045973594572,1,0.9,0.6,0.65,0.55,0.7,0.6172009468078613,0.02125825881958008
sqrt,1,75,0.5866666666666667,0.0812403840463596,21,0.7166666666666667,0.6,0.4666666666666667,0.55,0.6000000000000001,0.6203073978424072,0.021322965621948242
sqrt,1,100,0.5633333333333334,0.10187137859957415,28,0.7166666666666667,0.6,0.55,0.55,0.4,0.623927116394043,0.021114540100097657
sqrt,5,5,0.53,0.15398412616601462,31,0.7,0.6166666666666667,0.5833333333333334,0.25,0.5,0.5951696395874023,0.020977163314819337
sqrt,5,10,0.5866666666666667,0.13012814197295425,21,0.6166666666666667,0.6166666666666667,0.75,0.35,0.6,0.5981916427612305,0.02115483283996582
sqrt,5,15,0.5866666666666667,0.07986099033807292,21,0.6166666666666667,0.6166666666666667,0.6666666666666666,0.43333333333333335,0.6,0.5996767044067383,0.021134090423583985
sqrt,5,20,0.6566666666666666,0.08602325267042625,5,0.7166666666666667,0.7,0.75,0.5166666666666667,0.6,0.6011507987976075,0.021260547637939452
sqrt,5,30,0.6599999999999999,0.08205689083394113,4,0.7166666666666667,0.7,0.6666666666666666,0.7166666666666667,0.5,0.6020049095153809,0.021140384674072265
sqrt,5,50,0.6433333333333333,0.05734883511361751,6,0.7166666666666667,0.6,0.5666666666666667,0.6333333333333333,0.7,0.6040771961212158,0.021259355545043945
sqrt,5,75,0.6266666666666667,0.06879922480183429,11,0.7166666666666667,0.6,0.5666666666666667,0.55,0.7,0.6036506652832031,0.021271371841430665
sqrt,5,100,0.6033333333333334,0.060918889608323534,18,0.7166666666666667,0.6,0.55,0.55,0.6000000000000001,0.6060150623321533,0.02119154930114746
0.3,1,5,0.5466666666666666,0.1664665465224503,29,0.7,0.7,0.5833333333333334,0.25,0.5,0.6023839473724365,0.021390485763549804
0.3,1,10,0.6033333333333334,0.15825436627292291,18,0.8,0.6166666666666667,0.75,0.45,0.4,0.6068670749664307,0.02150564193725586
0.3,1,15,0.6233333333333333,0.11907047399661169,13,0.8,0.7,0.5666666666666667,0.45,0.6,0.6077330112457275,0.02133641242980957
0.3,1,20,0.6066666666666667,0.08981462390204986,15,0.7166666666666667,0.6,0.6666666666666666,0.45,0.6,0.6115015506744385,0.021294832229614258
0.3,1,30,0.6433333333333333,0.05734883511361751,6,0.7166666666666667,0.7,0.5666666666666667,0.6333333333333333,0.6,0.6178537368774414,0.021307659149169923
0.3,1,50,0.6433333333333333,0.0940449065311059,6,0.8,0.6,0.5666666666666667,0.55,0.7,0.6291337490081788,0.021431875228881837
0.3,1,75,0.6066666666666667,0.09345230512584123,15,0.7166666666666667,0.6,0.4666666666666667,0.55,0.7,0.6391190528869629,0.021311569213867187
0.3,1,100,0.5666666666666667,0.08755950357709132,27,0.7166666666666667,0.6,0.4666666666666667,0.55,0.5,0.6552428722381591,0.021358394622802736
0.3,5,5,0.47000000000000003,0.15289793254906284,32,0.7,0.5333333333333333,0.3666666666666667,0.25,0.5,0.58927001953125,0.021082496643066405
0.3,5,10,0.5866666666666667,0.13012814197295425,21,0.6166666666666667,0.6166666666666667,0.75,0.35,0.6,0.5954030990600586,0.02111639976501465
0.3,5,15,0.5866666666666667,0.07986099033807292,21,0.6166666666666667,0.6166666666666667,0.6666666666666666,0.43333333333333335,0.6,0.5982578277587891,0.021254777908325195
0.3,5,20,0.6366666666666666,0.07257180352359079,10,0.7166666666666667,0.7,0.65,0.5166666666666667,0.6,0.5990135669708252,0.021134662628173827
0.3,5,30,0.6799999999999999,0.04396968652757641,2,0.7166666666666667,0.7,0.6666666666666666,0.7166666666666667,0.6,0.6038276195526123,0.02146620750427246
0.3,5,50,0.6433333333333333,0.05734883511361751,6,0.7166666666666667,0.6,0.5666666666666667,0.6333333333333333,0.7,0.6102664947509766,0.021256685256958008
0.3,5,75,0.6066666666666667,0.058309518948453,15,0.7166666666666667,0.6,0.5666666666666667,0.55,0.6000000000000001,0.6204870700836181,0.021455860137939452
0.3,5,100,0.5866666666666667,0.0812403840463596,21,0.7166666666666667,0.6,0.4666666666666667,0.55,0.6000000000000001,0.6261681079864502,0.021100807189941406
