,KW + NMC,KW + RF,EN + NMC,EN + RF
KW + NMC,1.0,0.37175247992442134,0.41383989145183175,0.3572072072072072
KW + RF,0.37175247992442134,1.0,0.4204131227217497,0.5419265419265419
EN + NMC,0.41383989145183175,0.4204131227217497,1.0,0.45481569560047563
EN + RF,0.3572072072072072,0.5419265419265419,0.45481569560047563,1.0
