pipeline_a,pipeline_b,mean_diff,t_statistic,df,p_value,p_corrected,significant
kw_nmc,kw_rf,-0.159571,-2.996,249,0.0030116487836591155,0.018069892701954693,True
kw_nmc,en_nmc,-0.114357,-2.0161,249,0.044859240867432204,0.2691554452045932,False
kw_nmc,en_rf,-0.138762,-2.2732,249,0.02386690570609229,0.14320143423655374,False
kw_rf,en_nmc,0.045214,1.0114,249,0.3127986728505676,1.0,False
kw_rf,en_rf,0.020809,0.5258,249,0.5995116618686396,1.0,False
en_nmc,en_rf,-0.024405,-0.5189,249,0.6043095384266528,1.0,False
