,KW + NMC,KW + RF,EN + NMC,EN + RF
KW + NMC,1.0,0.42632719393282775,0.4956663055254605,0.4295774647887324
KW + RF,0.7438563327032136,1.0,0.6540642722117203,0.7391304347826086
EN + NMC,0.71484375,0.540625,1.0,0.59765625
EN + RF,0.6795201371036846,0.6700942587832048,0.6555269922879178,1.0
