param_clf__shrink_threshold,param_selector__k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
,5,0.6266666666666667,0.18577166390790364,28,0.65,0.8333333333333333,0.2833333333333333,0.7333333333333334,0.6333333333333333,0.1255155086517334,0.001560068130493164
,10,0.6466666666666667,0.20477630071210226,23,0.7333333333333334,0.8333333333333333,0.2833333333333333,0.8166666666666667,0.5666666666666667,0.1259526252746582,0.0015763282775878907
,15,0.6966666666666667,0.2463962481676844,5,0.9166666666666667,0.9166666666666667,0.2833333333333333,0.8166666666666667,0.55,0.12632131576538086,0.001584482192993164
,20,0.6966666666666667,0.2463962481676844,5,0.9166666666666667,0.9166666666666667,0.2833333333333333,0.8166666666666667,0.55,0.1261289596557617,0.0015848159790039062
,30,0.66,0.21592179654268864,21,0.6333333333333333,0.9166666666666667,0.2833333333333333,0.8166666666666667,0.65,0.12630062103271483,0.001579618453979492
,50,0.6766666666666666,0.15972198067614587,17,0.7166666666666667,0.8166666666666667,0.3833333333333333,0.8166666666666667,0.65,0.12520265579223633,0.0015785694122314453
,75,0.7133333333333334,0.139204086785474,4,0.8166666666666667,0.8166666666666667,0.4666666666666667,0.8166666666666667,0.65,0.12533373832702638,0.0015732288360595704
,100,0.66,0.19821424996424675,21,0.8166666666666667,0.7333333333333334,0.2833333333333333,0.8166666666666667,0.65,0.1255796432495117,0.0015814781188964843
0.1,5,0.6266666666666667,0.18577166390790364,28,0.65,0.8333333333333333,0.2833333333333333,0.7333333333333334,0.6333333333333333,0.1258683204650879,0.0015750885009765624
0.1,10,0.6299999999999999,0.20038851153585513,26,0.65,0.8333333333333333,0.2833333333333333,0.8166666666666667,0.5666666666666667,0.12503471374511718,0.0015769004821777344
0.1,15,0.6966666666666667,0.2463962481676844,5,0.9166666666666667,0.9166666666666667,0.2833333333333333,0.8166666666666667,0.55,0.1276388168334961,0.0016917705535888672
0.1,20,0.6966666666666667,0.2463962481676844,5,0.9166666666666667,0.9166666666666667,0.2833333333333333,0.8166666666666667,0.55,0.12569422721862794,0.0015876293182373047
0.1,30,0.64,0.22050447211388308,24,0.6333333333333333,0.9166666666666667,0.2833333333333333,0.8166666666666667,0.55,0.1257044792175293,0.001581573486328125
0.1,50,0.6766666666666666,0.15972198067614587,17,0.7166666666666667,0.8166666666666667,0.3833333333333333,0.8166666666666667,0.65,0.1254565715789795,0.0015814781188964843
0.1,75,0.6966666666666665,0.16944353369518445,12,0.8166666666666667,0.8166666666666667,0.3833333333333333,0.8166666666666667,0.65,0.12545490264892578,0.0015807628631591796
0.1,100,0.6799999999999999,0.20933757957476773,13,0.8166666666666667,0.8333333333333333,0.2833333333333333,0.8166666666666667,0.65,0.1256789207458496,0.0015783309936523438
0.2,5,0.6266666666666667,0.18577166390790364,28,0.65,0.8333333333333333,0.2833333333333333,0.7333333333333334,0.6333333333333333,0.12680521011352539,0.0015714645385742187
0.2,10,0.6299999999999999,0.20038851153585513,26,0.65,0.8333333333333333,0.2833333333333333,0.8166666666666667,0.5666666666666667,0.12606773376464844,0.0015814781188964843
0.2,15,0.6966666666666667,0.2463962481676844,5,0.9166666666666667,0.9166666666666667,0.2833333333333333,0.8166666666666667,0.55,0.12545700073242189,0.0015904903411865234
0.2,20,0.6966666666666667,0.2463962481676844,5,0.9166666666666667,0.9166666666666667,0.2833333333333333,0.8166666666666667,0.55,0.12532644271850585,0.001573657989501953
0.2,30,0.64,0.22050447211388308,24,0.6333333333333333,0.9166666666666667,0.2833333333333333,0.8166666666666667,0.55,0.12539076805114746,0.0015672683715820313
0.2,50,0.6766666666666666,0.15972198067614587,17,0.7166666666666667,0.8166666666666667,0.3833333333333333,0.8166666666666667,0.65,0.12523765563964845,0.0016006946563720704
0.2,75,0.7166666666666667,0.18737959096740264,2,0.8166666666666667,0.9166666666666667,0.3833333333333333,0.8166666666666667,0.65,0.1251992702484131,0.0015711784362792969
0.2,100,0.6799999999999999,0.20933757957476773,13,0.8166666666666667,0.8333333333333333,0.2833333333333333,0.8166666666666667,0.65,0.12549934387207032,0.0015782833099365235
0.5,5,0.6266666666666667,0.18577166390790364,28,0.65,0.8333333333333333,0.2833333333333333,0.7333333333333334,0.6333333333333333,0.12525591850280762,0.0015701770782470704
0.5,10,0.5933333333333334,0.20992061991778382,32,0.5666666666666667,0.8333333333333333,0.2833333333333333,0.8166666666666667,0.4666666666666667,0.12622323036193847,0.0016754627227783202
0.5,15,0.6799999999999999,0.2334285520001546,13,0.8333333333333333,0.9166666666666667,0.2833333333333333,0.8166666666666667,0.55,0.1257927894592285,0.0015875339508056641
0.5,20,0.6966666666666667,0.2463962481676844,5,0.9166666666666667,0.9166666666666667,0.2833333333333333,0.8166666666666667,0.55,0.1250617027282715,0.001567697525024414
0.5,30,0.6799999999999999,0.2334285520001546,13,0.8333333333333333,0.9166666666666667,0.2833333333333333,0.8166666666666667,0.55,0.12554783821105958,0.0015723228454589844
0.5,50,0.6766666666666665,0.1793816539609828,20,0.8166666666666667,0.8166666666666667,0.3833333333333333,0.8166666666666667,0.55,0.12538204193115235,0.001567983627319336
0.5,75,0.7166666666666667,0.18737959096740264,2,0.8166666666666667,0.9166666666666667,0.3833333333333333,0.8166666666666667,0.65,0.1255496025085449,0.0015813827514648438
0.5,100,0.7333333333333334,0.18439088914585777,1,0.8166666666666667,0.9166666666666667,0.3833333333333333,0.8166666666666667,0.7333333333333334,0.12513890266418456,0.0015830039978027345
