variant,repeat,fold,stage1_ba,stage2_ba,combined_ba,best_params,best_inner_score
standalone_en,1,1,1.0,0.9166666666666667,0.9444444444444445,"{'clf__C': 0.1, 'clf__l1_ratio': 0.3}",0.7933333333333333
standalone_en,1,2,1.0,0.7619047619047619,0.8412698412698413,"{'clf__C': 1.0, 'clf__l1_ratio': 0.3}",0.8566666666666667
standalone_en,1,3,1.0,0.6875,0.7916666666666666,"{'clf__C': 0.1, 'clf__l1_ratio': 0.3}",0.7733333333333334
standalone_en,1,4,1.0,0.7857142857142857,0.8571428571428572,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1}",0.7766666666666667
standalone_en,1,5,1.0,0.7857142857142857,0.8571428571428572,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5}",0.7999999999999999
standalone_en,2,1,1.0,0.7023809523809523,0.8015873015873015,"{'clf__C': 1.0, 'clf__l1_ratio': 0.9}",0.89
standalone_en,2,2,1.0,0.7619047619047619,0.8412698412698413,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1}",0.6499999999999999
standalone_en,2,3,1.0,0.625,0.75,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5}",0.8300000000000001
standalone_en,2,4,1.0,0.6428571428571428,0.7619047619047619,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5}",0.8099999999999999
standalone_en,2,5,1.0,0.7142857142857142,0.8095238095238096,"{'clf__C': 0.1, 'clf__l1_ratio': 0.3}",0.7133333333333333
standalone_en,3,1,1.0,0.9166666666666667,0.9444444444444445,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1}",0.7866666666666666
standalone_en,3,2,1.0,0.6785714285714286,0.7857142857142857,"{'clf__C': 10.0, 'clf__l1_ratio': 0.1}",0.78
standalone_en,3,3,1.0,0.9166666666666667,0.9444444444444445,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5}",0.74
standalone_en,3,4,1.0,0.6428571428571428,0.7619047619047619,"{'clf__C': 1.0, 'clf__l1_ratio': 0.1}",0.8733333333333334
standalone_en,3,5,1.0,0.7142857142857142,0.8095238095238096,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5}",0.7966666666666667
kw_en,1,1,1.0,0.8571428571428572,0.9047619047619048,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1, 'selector__k': 20}",0.8133333333333332
kw_en,1,2,1.0,0.6904761904761905,0.7936507936507936,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1, 'selector__k': 50}",0.8533333333333333
kw_en,1,3,1.0,0.6666666666666666,0.7777777777777778,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1, 'selector__k': 20}",0.8100000000000002
kw_en,1,4,1.0,0.7857142857142857,0.8571428571428572,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1, 'selector__k': 20}",0.8366666666666667
kw_en,1,5,1.0,0.8571428571428571,0.9047619047619048,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5, 'selector__k': 20}",0.7999999999999999
kw_en,2,1,1.0,0.47619047619047616,0.6507936507936507,"{'clf__C': 0.1, 'clf__l1_ratio': 0.9, 'selector__k': 20}",0.8433333333333334
kw_en,2,2,1.0,0.7619047619047619,0.8412698412698413,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1, 'selector__k': 50}",0.7066666666666667
kw_en,2,3,1.0,0.5416666666666666,0.6944444444444445,"{'clf__C': 10.0, 'clf__l1_ratio': 0.5, 'selector__k': 20}",0.8633333333333333
kw_en,2,4,1.0,0.6428571428571428,0.7619047619047619,"{'clf__C': 1.0, 'clf__l1_ratio': 0.5, 'selector__k': 20}",0.8300000000000001
kw_en,2,5,1.0,0.7142857142857142,0.8095238095238096,"{'clf__C': 1.0, 'clf__l1_ratio': 0.1, 'selector__k': 20}",0.7366666666666667
kw_en,3,1,1.0,0.8452380952380952,0.8968253968253969,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1, 'selector__k': 50}",0.7866666666666666
kw_en,3,2,1.0,0.7619047619047619,0.8412698412698413,"{'clf__C': 10.0, 'clf__l1_ratio': 0.5, 'selector__k': 20}",0.7266666666666666
kw_en,3,3,1.0,0.8333333333333333,0.8888888888888888,"{'clf__C': 0.1, 'clf__l1_ratio': 0.5, 'selector__k': 20}",0.76
kw_en,3,4,1.0,0.5714285714285714,0.7142857142857143,"{'clf__C': 10.0, 'clf__l1_ratio': 0.5, 'selector__k': 50}",0.8333333333333334
kw_en,3,5,1.0,0.7142857142857142,0.8095238095238096,"{'clf__C': 0.1, 'clf__l1_ratio': 0.1, 'selector__k': 20}",0.8333333333333334
