param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
0.001,0.1,5,0.3899999999999999,0.14321700705960558,185,0.3833333333333333,0.6666666666666666,0.2833333333333333,0.2833333333333333,0.3333333333333333,0.0035581111907958983,0.0015029430389404297
0.001,0.1,10,0.5433333333333333,0.07571877794400363,136,0.43333333333333335,0.6666666666666666,0.5333333333333333,0.5666666666666667,0.5166666666666667,0.0033607006072998045,0.001459646224975586
0.001,0.1,20,0.51,0.1030641655582687,169,0.43333333333333335,0.6666666666666666,0.3666666666666667,0.55,0.5333333333333333,0.003387117385864258,0.0014642238616943359
0.001,0.1,50,0.5266666666666666,0.09695359714832656,152,0.3833333333333333,0.6333333333333333,0.5166666666666667,0.6333333333333333,0.4666666666666667,0.0034914493560791017,0.001464986801147461
0.001,0.3,5,0.3899999999999999,0.14321700705960558,185,0.3833333333333333,0.6666666666666666,0.2833333333333333,0.2833333333333333,0.3333333333333333,0.003348827362060547,0.0014617919921875
0.001,0.3,10,0.5433333333333333,0.07571877794400363,136,0.43333333333333335,0.6666666666666666,0.5333333333333333,0.5666666666666667,0.5166666666666667,0.003359270095825195,0.0014655113220214844
0.001,0.3,20,0.51,0.1030641655582687,169,0.43333333333333335,0.6666666666666666,0.3666666666666667,0.55,0.5333333333333333,0.003340339660644531,0.001469898223876953
0.001,0.3,50,0.5266666666666666,0.09695359714832656,152,0.3833333333333333,0.6333333333333333,0.5166666666666667,0.6333333333333333,0.4666666666666667,0.0034555435180664063,0.001463460922241211
0.001,0.5,5,0.3899999999999999,0.14321700705960558,185,0.3833333333333333,0.6666666666666666,0.2833333333333333,0.2833333333333333,0.3333333333333333,0.0033483028411865233,0.0014446735382080077
0.001,0.5,10,0.5433333333333333,0.07571877794400363,136,0.43333333333333335,0.6666666666666666,0.5333333333333333,0.5666666666666667,0.5166666666666667,0.003339242935180664,0.0014500617980957031
0.001,0.5,20,0.51,0.1030641655582687,169,0.43333333333333335,0.6666666666666666,0.3666666666666667,0.55,0.5333333333333333,0.0034777164459228516,0.001477670669555664
0.001,0.5,50,0.5266666666666666,0.09695359714832656,152,0.3833333333333333,0.6333333333333333,0.5166666666666667,0.6333333333333333,0.4666666666666667,0.0033636569976806642,0.0014631271362304688
0.001,0.7,5,0.3899999999999999,0.14321700705960558,185,0.3833333333333333,0.6666666666666666,0.2833333333333333,0.2833333333333333,0.3333333333333333,0.0033388614654541017,0.001457357406616211
0.001,0.7,10,0.5433333333333333,0.07571877794400363,136,0.43333333333333335,0.6666666666666666,0.5333333333333333,0.5666666666666667,0.5166666666666667,0.0034152984619140623,0.0014439105987548828
0.001,0.7,20,0.51,0.1030641655582687,169,0.43333333333333335,0.6666666666666666,0.3666666666666667,0.55,0.5333333333333333,0.003419971466064453,0.0014530181884765624
0.001,0.7,50,0.5266666666666666,0.09695359714832656,152,0.3833333333333333,0.6333333333333333,0.5166666666666667,0.6333333333333333,0.4666666666666667,0.0033562183380126953,0.0014490604400634766
0.001,0.9,5,0.3899999999999999,0.14321700705960558,185,0.3833333333333333,0.6666666666666666,0.2833333333333333,0.2833333333333333,0.3333333333333333,0.0033299922943115234,0.0014399051666259765
0.001,0.9,10,0.5433333333333333,0.07571877794400363,136,0.43333333333333335,0.6666666666666666,0.5333333333333333,0.5666666666666667,0.5166666666666667,0.0034003257751464844,0.001455974578857422
0.001,0.9,20,0.51,0.1030641655582687,169,0.43333333333333335,0.6666666666666666,0.3666666666666667,0.55,0.5333333333333333,0.0034186840057373047,0.0014501571655273437
0.001,0.9,50,0.5266666666666666,0.09695359714832656,152,0.3833333333333333,0.6333333333333333,0.5166666666666667,0.6333333333333333,0.4666666666666667,0.003358745574951172,0.0014455318450927734
0.00359381,0.1,5,0.3899999999999999,0.14321700705960558,185,0.3833333333333333,0.6666666666666666,0.2833333333333333,0.2833333333333333,0.3333333333333333,0.0038299560546875,0.001458883285522461
0.00359381,0.1,10,0.5433333333333333,0.07571877794400363,136,0.43333333333333335,0.6666666666666666,0.5333333333333333,0.5666666666666667,0.5166666666666667,0.0038028717041015624,0.0014490604400634766
0.00359381,0.1,20,0.51,0.1030641655582687,169,0.43333333333333335,0.6666666666666666,0.3666666666666667,0.55,0.5333333333333333,0.0038947105407714845,0.0014416694641113282
0.00359381,0.1,50,0.5266666666666666,0.09695359714832656,152,0.3833333333333333,0.6333333333333333,0.5166666666666667,0.6333333333333333,0.4666666666666667,0.003793621063232422,0.0014532089233398437
0.00359381,0.3,5,0.3899999999999999,0.14321700705960558,185,0.3833333333333333,0.6666666666666666,0.2833333333333333,0.2833333333333333,0.3333333333333333,0.0033550262451171875,0.0014467239379882812
0.00359381,0.3,10,0.5433333333333333,0.07571877794400363,136,0.43333333333333335,0.6666666666666666,0.5333333333333333,0.5666666666666667,0.5166666666666667,0.003392457962036133,0.0014376640319824219
0.00359381,0.3,20,0.51,0.1030641655582687,169,0.43333333333333335,0.6666666666666666,0.3666666666666667,0.55,0.5333333333333333,0.0033204078674316405,0.001426362991333008
0.00359381,0.3,50,0.5266666666666666,0.09695359714832656,152,0.3833333333333333,0.6333333333333333,0.5166666666666667,0.6333333333333333,0.4666666666666667,0.0033910274505615234,0.00145263671875
0.00359381,0.5,5,0.3899999999999999,0.14321700705960558,185,0.3833333333333333,0.6666666666666666,0.2833333333333333,0.2833333333333333,0.3333333333333333,0.0033135414123535156,0.0014521121978759766
0.00359381,0.5,10,0.5433333333333333,0.07571877794400363,136,0.43333333333333335,0.6666666666666666,0.5333333333333333,0.5666666666666667,0.5166666666666667,0.003399085998535156,0.0014501571655273437
0.00359381,0.5,20,0.51,0.1030641655582687,169,0.43333333333333335,0.6666666666666666,0.3666666666666667,0.55,0.5333333333333333,0.003362894058227539,0.0014540672302246094
0.00359381,0.5,50,0.5266666666666666,0.09695359714832656,152,0.3833333333333333,0.6333333333333333,0.5166666666666667,0.6333333333333333,0.4666666666666667,0.003349113464355469,0.0014638423919677735
0.00359381,0.7,5,0.3899999999999999,0.14321700705960558,185,0.3833333333333333,0.6666666666666666,0.2833333333333333,0.2833333333333333,0.3333333333333333,0.003348684310913086,0.0014639854431152343
0.00359381,0.7,10,0.5433333333333333,0.07571877794400363,136,0.43333333333333335,0.6666666666666666,0.5333333333333333,0.5666666666666667,0.5166666666666667,0.0033744335174560546,0.001443624496459961
0.00359381,0.7,20,0.51,0.1030641655582687,169,0.43333333333333335,0.6666666666666666,0.3666666666666667,0.55,0.5333333333333333,0.0033420562744140626,0.0014342784881591797
0.00359381,0.7,50,0.5266666666666666,0.09695359714832656,152,0.3833333333333333,0.6333333333333333,0.5166666666666667,0.6333333333333333,0.4666666666666667,0.00333404541015625,0.0014386653900146484
0.00359381,0.9,5,0.3899999999999999,0.14321700705960558,185,0.3833333333333333,0.6666666666666666,0.2833333333333333,0.2833333333333333,0.3333333333333333,0.0033111572265625,0.0014453887939453124
0.00359381,0.9,10,0.5433333333333333,0.07571877794400363,136,0.43333333333333335,0.6666666666666666,0.5333333333333333,0.5666666666666667,0.5166666666666667,0.0034030914306640626,0.0014451980590820313
0.00359381,0.9,20,0.51,0.1030641655582687,169,0.43333333333333335,0.6666666666666666,0.3666666666666667,0.55,0.5333333333333333,0.003304862976074219,0.0014376640319824219
0.00359381,0.9,50,0.5266666666666666,0.09695359714832656,152,0.3833333333333333,0.6333333333333333,0.5166666666666667,0.6333333333333333,0.4666666666666667,0.0033208847045898436,0.0014402389526367188
0.0129155,0.1,5,0.7266666666666667,0.13686976778431875,118,0.6333333333333333,0.8333333333333333,0.9166666666666667,0.5333333333333333,0.7166666666666667,0.012652111053466798,0.0015257835388183595
0.0129155,0.1,10,0.8333333333333333,0.09249624617007739,14,0.7166666666666667,0.8333333333333333,1.0,0.8,0.8166666666666667,0.012717533111572265,0.0015125274658203125
0.0129155,0.1,20,0.8,0.10903618155864082,40,0.7166666666666667,0.8333333333333333,1.0,0.7166666666666667,0.7333333333333334,0.012608957290649415,0.0015141963958740234
0.0129155,0.1,50,0.7466666666666667,0.1596524001977073,90,0.5333333333333333,0.8333333333333333,1.0,0.7166666666666667,0.65,0.012739610671997071,0.0015261650085449218
0.0129155,0.3,5,0.3899999999999999,0.14321700705960558,185,0.3833333333333333,0.6666666666666666,0.2833333333333333,0.2833333333333333,0.3333333333333333,0.003817462921142578,0.0015199661254882812
0.0129155,0.3,10,0.5433333333333333,0.07571877794400363,136,0.43333333333333335,0.6666666666666666,0.5333333333333333,0.5666666666666667,0.5166666666666667,0.003744029998779297,0.0014168262481689454
0.0129155,0.3,20,0.51,0.1030641655582687,169,0.43333333333333335,0.6666666666666666,0.3666666666666667,0.55,0.5333333333333333,0.003733396530151367,0.001425790786743164
