distance_bin_Mb	median_r	n_pairs
0-0.1	0.6213376226453442	260
0.1-0.5	0.5588127919643389	135
0.5-1	0.5114802491729032	82
1-2	0.5180013720696693	121
2-5	0.4176033144527842	92
5-10	0.36101924999766655	76
10-20	0.32329968556122013	236
20-50	0.2406455607985158	636
50-100	0.23524243408249346	397
100-200	0.08690853304458512	357
cross_chromosome	0.1571352162122808	10000
