param_clf__shrink_threshold,param_selector__C,param_selector__l1_ratio,param_selector__top_k,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_fit_time,mean_score_time
,0.001,0.1,5,0.47000000000000003,0.057154760664940844,737,0.55,0.48333333333333334,0.3833333333333333,0.5,0.43333333333333335,0.002867984771728516,0.00121002197265625
,0.001,0.1,10,0.5033333333333333,0.07102425250887506,559,0.6166666666666667,0.48333333333333334,0.48333333333333334,0.4,0.5333333333333333,0.0027332305908203125,0.0011621475219726562
,0.001,0.1,20,0.47333333333333333,0.07118052168020876,689,0.55,0.55,0.48333333333333334,0.4,0.3833333333333333,0.0027099609375,0.0011513233184814453
,0.001,0.1,50,0.47333333333333333,0.08537498983243799,689,0.35,0.6166666666666667,0.45,0.48333333333333334,0.4666666666666667,0.002772092819213867,0.0011725425720214844
,0.001,0.3,5,0.47000000000000003,0.057154760664940844,737,0.55,0.48333333333333334,0.3833333333333333,0.5,0.43333333333333335,0.0027388572692871095,0.001175260543823242
,0.001,0.3,10,0.5033333333333333,0.07102425250887506,559,0.6166666666666667,0.48333333333333334,0.48333333333333334,0.4,0.5333333333333333,0.002785348892211914,0.0011833667755126952
,0.001,0.3,20,0.47333333333333333,0.07118052168020876,689,0.55,0.55,0.48333333333333334,0.4,0.3833333333333333,0.0027178287506103515,0.001165914535522461
,0.001,0.3,50,0.47333333333333333,0.08537498983243799,689,0.35,0.6166666666666667,0.45,0.48333333333333334,0.4666666666666667,0.0027529239654541016,0.0011728763580322265
,0.001,0.5,5,0.47000000000000003,0.057154760664940844,737,0.55,0.48333333333333334,0.3833333333333333,0.5,0.43333333333333335,0.0027873039245605467,0.0011860847473144532
,0.001,0.5,10,0.5033333333333333,0.07102425250887506,559,0.6166666666666667,0.48333333333333334,0.48333333333333334,0.4,0.5333333333333333,0.0027519702911376954,0.001168680191040039
,0.001,0.5,20,0.47333333333333333,0.07118052168020876,689,0.55,0.55,0.48333333333333334,0.4,0.3833333333333333,0.0027077198028564453,0.0011569976806640625
,0.001,0.5,50,0.47333333333333333,0.08537498983243799,689,0.35,0.6166666666666667,0.45,0.48333333333333334,0.4666666666666667,0.0027800559997558593,0.0011893749237060548
,0.001,0.7,5,0.47000000000000003,0.057154760664940844,737,0.55,0.48333333333333334,0.3833333333333333,0.5,0.43333333333333335,0.002672767639160156,0.0011583328247070312
,0.001,0.7,10,0.5033333333333333,0.07102425250887506,559,0.6166666666666667,0.48333333333333334,0.48333333333333334,0.4,0.5333333333333333,0.0027196407318115234,0.0011553764343261719
,0.001,0.7,20,0.47333333333333333,0.07118052168020876,689,0.55,0.55,0.48333333333333334,0.4,0.3833333333333333,0.0027826309204101564,0.0011815071105957032
,0.001,0.7,50,0.47333333333333333,0.08537498983243799,689,0.35,0.6166666666666667,0.45,0.48333333333333334,0.4666666666666667,0.0027440547943115234,0.0011667728424072266
,0.001,0.9,5,0.47000000000000003,0.057154760664940844,737,0.55,0.48333333333333334,0.3833333333333333,0.5,0.43333333333333335,0.002702951431274414,0.001157999038696289
,0.001,0.9,10,0.5033333333333333,0.07102425250887506,559,0.6166666666666667,0.48333333333333334,0.48333333333333334,0.4,0.5333333333333333,0.0026929378509521484,0.00115966796875
,0.001,0.9,20,0.47333333333333333,0.07118052168020876,689,0.55,0.55,0.48333333333333334,0.4,0.3833333333333333,0.0027361392974853517,0.0012160778045654298
,0.001,0.9,50,0.47333333333333333,0.08537498983243799,689,0.35,0.6166666666666667,0.45,0.48333333333333334,0.4666666666666667,0.002820110321044922,0.0012045860290527343
,0.00359381,0.1,5,0.47000000000000003,0.057154760664940844,737,0.55,0.48333333333333334,0.3833333333333333,0.5,0.43333333333333335,0.003121089935302734,0.0011683940887451173
,0.00359381,0.1,10,0.5033333333333333,0.07102425250887506,559,0.6166666666666667,0.48333333333333334,0.48333333333333334,0.4,0.5333333333333333,0.0031176090240478517,0.0011597633361816405
,0.00359381,0.1,20,0.47333333333333333,0.07118052168020876,689,0.55,0.55,0.48333333333333334,0.4,0.3833333333333333,0.003455972671508789,0.0012887001037597656
,0.00359381,0.1,50,0.47333333333333333,0.08537498983243799,689,0.35,0.6166666666666667,0.45,0.48333333333333334,0.4666666666666667,0.003364372253417969,0.0012298107147216796
,0.00359381,0.3,5,0.47000000000000003,0.057154760664940844,737,0.55,0.48333333333333334,0.3833333333333333,0.5,0.43333333333333335,0.0027616024017333984,0.0011975765228271484
